lgsgm0.21     lgsgm1.20     p3fl.0        tCrcl.10      vImpct.21     xMax.21       pMin.22       pMax.22       pMdl.0        E.0           N.0           eta.0         
+2.0000e+000  +3.6000e+000  +0.0000e+000  +9.9627e-001  +8.9263e+000  +1.0015e+000  +9.9438e-003  +1.0067e-002  +1.0007e-002  +3.9839e+001  +3.9988e+001  +1.0038e+000  
+2.1000e+000  +3.6000e+000  +0.0000e+000  +9.7517e-001  +8.0846e+000  +1.0271e+000  +8.1502e-003  +8.2532e-003  +8.2082e-003  +3.2680e+001  +3.3512e+001  +1.0255e+000  
+2.1000e+000  +3.7000e+000  +0.0000e+000  +9.7945e-001  +8.9439e+000  +1.0031e+000  +7.9360e-003  +8.0216e-003  +7.9798e-003  +3.9996e+001  +4.0835e+001  +1.0211e+000  
+2.2000e+000  +3.6000e+000  +0.0000e+000  +9.6107e-001  +7.4645e+000  +1.0874e+000  +6.9428e-003  +7.0366e-003  +6.9970e-003  +2.7859e+001  +2.8988e+001  +1.0406e+000  
+2.2000e+000  +3.7000e+000  +0.0000e+000  +9.5561e-001  +8.1225e+000  +1.0337e+000  +6.5393e-003  +6.6134e-003  +6.5812e-003  +3.2987e+001  +3.4519e+001  +1.0466e+000  
+2.3000e+000  +3.6000e+000  +0.0000e+000  +9.5149e-001  +7.1824e+000  +1.2297e+000  +6.4217e-003  +6.5203e-003  +6.4774e-003  +2.5793e+001  +2.7108e+001  +1.0512e+000  
+2.3000e+000  +3.7000e+000  +0.0000e+000  +9.3748e-001  +7.5462e+000  +1.1058e+000  +5.6404e-003  +5.7096e-003  +5.6799e-003  +2.8472e+001  +3.0371e+001  +1.0669e+000  
+2.4000e+000  +3.6000e+000  +0.0000e+000  +9.6582e-001  +7.7973e+000  +1.6583e+000  +7.5468e-003  +7.7066e-003  +7.6333e-003  +3.0399e+001  +3.1475e+001  +1.0357e+000  
+2.4000e+000  +3.7000e+000  +0.0000e+000  +9.3014e-001  +7.3654e+000  +1.2787e+000  +5.3682e-003  +5.4444e-003  +5.4104e-003  +2.7125e+001  +2.9162e+001  +1.0754e+000  
+2.5000e+000  +3.6000e+000  +0.0000e+000  +9.9315e-001  +9.7830e+000  +2.5586e+000  +1.1806e-002  +1.2206e-002  +1.2017e-002  +4.7853e+001  +4.8183e+001  +1.0072e+000  
