lgsgm0.21     lgsgm1.20     p3fl.0        tCrcl.10      vImpct.21     xMax.21       pMin.22       pMax.22       pMdl.0        E.0           N.0           eta.0         
-3.0000e+000  +5.0000e-001  +0.0000e+000  +6.1805e+001  +3.8615e+000  +1.0012e+001  +7.3571e-002  +1.0111e+000  +8.3820e-001  +7.4556e+000  +1.2063e-001  +4.5510e-002  
-3.0000e+000  +6.0000e-001  +0.0000e+000  +5.5101e+001  +4.2929e+000  +1.0012e+001  +7.1014e-002  +1.0112e+000  +8.1851e-001  +9.2143e+000  +1.6723e-001  +5.1319e-002  
-3.0000e+000  +7.0000e-001  +0.0000e+000  +4.9122e+001  +4.7771e+000  +1.0012e+001  +6.8806e-002  +1.0113e+000  +7.9643e-001  +1.1410e+001  +2.3229e-001  +5.8194e-002  
-3.0000e+000  +8.0000e-001  +0.0000e+000  +4.3791e+001  +5.3207e+000  +1.0012e+001  +6.6893e-002  +1.0113e+000  +7.7164e-001  +1.4155e+001  +3.2323e-001  +6.6390e-002  
-3.0000e+000  +9.0000e-001  +0.0000e+000  +3.9038e+001  +5.9308e+000  +1.0012e+001  +6.5232e-002  +1.0114e+000  +7.4384e-001  +1.7587e+001  +4.5051e-001  +7.6248e-002  
-3.0000e+000  +1.0000e+000  +0.0000e+000  +3.4799e+001  +6.6155e+000  +1.0012e+001  +6.3785e-002  +1.0114e+000  +7.1264e-001  +2.1883e+001  +6.2882e-001  +8.8238e-002  
-3.0000e+000  +1.1000e+000  +0.0000e+000  +3.1021e+001  +7.3840e+000  +1.0012e+001  +6.2523e-002  +1.0114e+000  +6.7763e-001  +2.7262e+001  +8.7883e-001  +1.0302e-001  
-3.0000e+000  +1.2000e+000  +0.0000e+000  +2.7652e+001  +8.2464e+000  +1.0012e+001  +6.1418e-002  +1.0115e+000  +6.3836e-001  +3.4002e+001  +1.2296e+000  +1.2154e-001  
-3.0000e+000  +1.3000e+000  +0.0000e+000  +2.4648e+001  +9.2142e+000  +1.0012e+001  +6.0450e-002  +1.0115e+000  +5.9429e-001  +4.2451e+001  +1.7223e+000  +1.4525e-001  
-3.0000e+000  +1.4000e+000  +0.0000e+000  +2.1971e+001  +1.0300e+001  +1.0012e+001  +5.9600e-002  +1.0115e+000  +5.4485e-001  +5.3047e+001  +2.4144e+000  +1.7642e-001  
-3.0000e+000  +1.5000e+000  +0.0000e+000  +1.9584e+001  +1.1518e+001  +1.0012e+001  +5.8851e-002  +1.0111e+000  +4.8937e-001  +6.6331e+001  +3.3870e+000  +2.1887e-001  
-3.0000e+000  +1.6000e+000  +0.0000e+000  +1.7457e+001  +1.2877e+001  +1.0012e+001  +5.8177e-002  +1.0079e+000  +4.2716e-001  +8.2907e+001  +4.7492e+000  +2.7928e-001  
-3.0000e+000  +1.7000e+000  +0.0000e+000  +1.5566e+001  +1.4351e+001  +1.0012e+001  +5.7495e-002  +9.8802e-001  +3.5757e-001  +1.0298e+002  +6.6156e+000  +3.6916e-001  
-3.0000e+000  +1.8000e+000  +0.0000e+000  +1.3901e+001  +1.5743e+001  +1.0013e+001  +5.6461e-002  +8.9842e-001  +2.8062e-001  +1.2392e+002  +8.9145e+000  +5.0347e-001  
-3.0000e+000  +1.9000e+000  +0.0000e+000  +1.2483e+001  +1.6364e+001  +1.0018e+001  +5.3888e-002  +6.4723e-001  +1.9894e-001  +1.3389e+002  +1.0725e+001  +6.7872e-001  
-3.0000e+000  +2.0000e+000  +0.0000e+000  +1.1379e+001  +1.5207e+001  +1.0038e+001  +4.7085e-002  +3.1261e-001  +1.2125e-001  +1.1563e+002  +1.0162e+001  +8.3808e-001  
-3.0000e+000  +2.1000e+000  +0.0000e+000  +1.0667e+001  +1.2519e+001  +1.0106e+001  +3.4538e-002  +1.1425e-001  +6.2784e-002  +7.8358e+001  +7.3456e+000  +9.2935e-001  
-3.0000e+000  +2.2000e+000  +0.0000e+000  +1.0318e+001  +9.9621e+000  +1.0277e+001  +2.1856e-002  +4.4635e-002  +3.1360e-002  +4.9622e+001  +4.8093e+000  +9.6762e-001  
-3.0000e+000  +2.3000e+000  +0.0000e+000  +1.0164e+001  +8.3312e+000  +1.0578e+001  +1.3760e-002  +2.1856e-002  +1.7404e-002  +3.4704e+001  +3.4145e+000  +9.8329e-001  
-3.0000e+000  +2.4000e+000  +0.0000e+000  +1.0083e+001  +7.4035e+000  +1.1003e+001  +9.2176e-003  +1.2872e-002  +1.0916e-002  +2.7406e+001  +2.7181e+000  +9.9126e-001  
-3.0000e+000  +2.5000e+000  +0.0000e+000  +1.0028e+001  +6.8893e+000  +1.1549e+001  +6.5766e-003  +8.5533e-003  +7.5093e-003  +2.3732e+001  +2.3665e+000  +9.9658e-001  
-2.9000e+000  +5.0000e-001  +0.0000e+000  +5.5501e+001  +3.8606e+000  +1.0015e+001  +7.3555e-002  +1.0139e+000  +8.1982e-001  +7.4520e+000  +1.3427e-001  +5.1791e-002  
-2.9000e+000  +6.0000e-001  +0.0000e+000  +4.9482e+001  +4.2919e+000  +1.0015e+001  +7.0999e-002  +1.0140e+000  +7.9791e-001  +9.2102e+000  +1.8613e-001  +5.8597e-002  
