lgsgm0.21     lgsgm1.20     p3fl.0        tCrcl.10      vImpct.21     xMax.21       pMin.22       pMax.22       pMdl.0        E.0           N.0           eta.0         
-2.9000e+000  +1.2000e+000  +0.0000e+000  +3.1465e+001  +8.2462e+000  +1.0013e+001  +6.1419e-002  +1.0124e+000  +6.8219e-001  +3.4000e+001  +1.0806e+000  +9.9941e-002  
-2.9000e+000  +1.3000e+000  +0.0000e+000  +2.8047e+001  +9.2140e+000  +1.0013e+001  +6.0451e-002  +1.0125e+000  +6.4345e-001  +4.2449e+001  +1.5135e+000  +1.1789e-001  
-2.9000e+000  +1.4000e+000  +0.0000e+000  +2.5000e+001  +1.0300e+001  +1.0013e+001  +5.9601e-002  +1.0125e+000  +5.9999e-001  +5.3045e+001  +2.1218e+000  +1.4079e-001  
-2.9000e+000  +1.5000e+000  +0.0000e+000  +2.2283e+001  +1.1519e+001  +1.0013e+001  +5.8853e-002  +1.0125e+000  +5.5123e-001  +6.6339e+001  +2.9771e+000  +1.7079e-001  
-2.9000e+000  +1.6000e+000  +0.0000e+000  +1.9862e+001  +1.2885e+001  +1.0013e+001  +5.8194e-002  +1.0122e+000  +4.9652e-001  +8.3016e+001  +4.1796e+000  +2.1145e-001  
-2.9000e+000  +1.7000e+000  +0.0000e+000  +1.7704e+001  +1.4412e+001  +1.0013e+001  +5.7601e-002  +1.0097e+000  +4.3516e-001  +1.0386e+002  +5.8663e+000  +2.6898e-001  
-2.9000e+000  +1.8000e+000  +0.0000e+000  +1.5784e+001  +1.6080e+001  +1.0013e+001  +5.7006e-002  +9.9406e-001  +3.6645e-001  +1.2929e+002  +8.1910e+000  +3.5425e-001  
-2.9000e+000  +1.9000e+000  +0.0000e+000  +1.4088e+001  +1.7705e+001  +1.0014e+001  +5.6118e-002  +9.1941e-001  +2.9019e-001  +1.5673e+002  +1.1125e+001  +4.8265e-001  
-2.9000e+000  +2.0000e+000  +0.0000e+000  +1.2629e+001  +1.8578e+001  +1.0019e+001  +5.3878e-002  +6.9003e-001  +2.0817e-001  +1.7257e+002  +1.3665e+001  +6.5644e-001  
-2.9000e+000  +2.1000e+000  +0.0000e+000  +1.1463e+001  +1.7443e+001  +1.0038e+001  +4.7590e-002  +3.4420e-001  +1.2774e-001  +1.5213e+002  +1.3271e+001  +8.2525e-001  
-2.9000e+000  +2.2000e+000  +0.0000e+000  +1.0689e+001  +1.4243e+001  +1.0109e+001  +3.4878e-002  +1.2090e-001  +6.4620e-002  +1.0144e+002  +9.4903e+000  +9.2665e-001  
-2.9000e+000  +2.3000e+000  +0.0000e+000  +1.0311e+001  +1.1069e+001  +1.0307e+001  +2.1435e-002  +4.4079e-002  +3.0754e-002  +6.1265e+001  +5.9416e+000  +9.6827e-001  
-2.9000e+000  +2.4000e+000  +0.0000e+000  +1.0154e+001  +9.1301e+000  +1.0672e+001  +1.3178e-002  +2.0904e-002  +1.6603e-002  +4.1679e+001  +4.1045e+000  +9.8420e-001  
-2.9000e+000  +2.5000e+000  +0.0000e+000  +1.0076e+001  +8.1075e+000  +1.1194e+001  +8.7989e-003  +1.2312e-002  +1.0399e-002  +3.2866e+001  +3.2619e+000  +9.9195e-001  
-2.8000e+000  +5.0000e-001  +0.0000e+000  +6.3114e+001  +3.8603e+000  +1.0016e+001  +7.3559e-002  +1.0151e+000  +8.4156e-001  +7.4511e+000  +1.1806e-001  +4.4363e-002  
-2.8000e+000  +6.0000e-001  +0.0000e+000  +5.6267e+001  +4.2917e+000  +1.0016e+001  +7.1003e-002  +1.0152e+000  +8.2228e-001  +9.2092e+000  +1.6367e-001  +4.9998e-002  
-2.8000e+000  +7.0000e-001  +0.0000e+000  +5.0161e+001  +4.7759e+000  +1.0016e+001  +6.8796e-002  +1.0153e+000  +8.0064e-001  +1.1404e+001  +2.2736e-001  +5.6659e-002  
-2.8000e+000  +8.0000e-001  +0.0000e+000  +4.4717e+001  +5.3194e+000  +1.0016e+001  +6.6884e-002  +1.0153e+000  +7.7637e-001  +1.4148e+001  +3.1639e-001  +6.4588e-002  
-2.8000e+000  +9.0000e-001  +0.0000e+000  +3.9863e+001  +5.9295e+000  +1.0016e+001  +6.5223e-002  +1.0154e+000  +7.4914e-001  +1.7579e+001  +4.4099e-001  +7.4108e-002  
-2.8000e+000  +1.0000e+000  +0.0000e+000  +3.5535e+001  +6.6142e+000  +1.0016e+001  +6.3777e-002  +1.0155e+000  +7.1859e-001  +2.1874e+001  +6.1555e-001  +8.5662e-002  
-2.8000e+000  +1.1000e+000  +0.0000e+000  +3.1676e+001  +7.3826e+000  +1.0016e+001  +6.2515e-002  +1.0156e+000  +6.8430e-001  +2.7252e+001  +8.6032e-001  +9.9864e-002  
-2.8000e+000  +1.2000e+000  +0.0000e+000  +2.8236e+001  +8.2450e+000  +1.0016e+001  +6.1411e-002  +1.0156e+000  +6.4584e-001  +3.3990e+001  +1.2038e+000  +1.1761e-001  
-2.8000e+000  +1.3000e+000  +0.0000e+000  +2.5169e+001  +9.2128e+000  +1.0016e+001  +6.0444e-002  +1.0157e+000  +6.0268e-001  +4.2438e+001  +1.6861e+000  +1.4022e-001  
-2.8000e+000  +1.4000e+000  +0.0000e+000  +2.2435e+001  +1.0299e+001  +1.0016e+001  +5.9594e-002  +1.0157e+000  +5.5426e-001  +5.3032e+001  +2.3639e+000  +1.6979e-001  
-2.8000e+000  +1.5000e+000  +0.0000e+000  +1.9997e+001  +1.1517e+001  +1.0016e+001  +5.8846e-002  +1.0154e+000  +4.9993e-001  +6.6318e+001  +3.3164e+000  +2.0978e-001  
-2.8000e+000  +1.6000e+000  +0.0000e+000  +1.7825e+001  +1.2878e+001  +1.0016e+001  +5.8178e-002  +1.0132e+000  +4.3899e-001  +8.2926e+001  +4.6522e+000  +2.6620e-001  
-2.8000e+000  +1.7000e+000  +0.0000e+000  +1.5892e+001  +1.4369e+001  +1.0016e+001  +5.7524e-002  +9.9865e-001  +3.7077e-001  +1.0323e+002  +6.4959e+000  +3.4957e-001  
-2.8000e+000  +1.8000e+000  +0.0000e+000  +1.4186e+001  +1.5839e+001  +1.0017e+001  +5.6617e-002  +9.2861e-001  +2.9506e-001  +1.2543e+002  +8.8422e+000  +4.7494e-001  
-2.8000e+000  +1.9000e+000  +0.0000e+000  +1.2719e+001  +1.6698e+001  +1.0023e+001  +5.4487e-002  +7.0961e-001  +2.1378e-001  +1.3941e+002  +1.0961e+001  +6.4545e-001  
-2.8000e+000  +2.0000e+000  +0.0000e+000  +1.1551e+001  +1.5889e+001  +1.0044e+001  +4.8694e-002  +3.6978e-001  +1.3432e-001  +1.2623e+002  +1.0928e+001  +8.1356e-001  
-2.8000e+000  +2.1000e+000  +0.0000e+000  +1.0767e+001  +1.3327e+001  +1.0120e+001  +3.7033e-002  +1.3923e-001  +7.1406e-002  +8.8810e+001  +8.2482e+000  +9.1754e-001  
-2.8000e+000  +2.2000e+000  +0.0000e+000  +1.0367e+001  +1.0655e+001  +1.0320e+001  +2.4050e-002  +5.3636e-002  +3.5899e-002  +5.6770e+001  +5.4759e+000  +9.6242e-001  
-2.8000e+000  +2.3000e+000  +0.0000e+000  +1.0193e+001  +8.9272e+000  +1.0686e+001  +1.5370e-002  +2.6010e-002  +1.9986e-002  +3.9848e+001  +3.9093e+000  +9.8034e-001  
-2.8000e+000  +2.4000e+000  +0.0000e+000  +1.0108e+001  +7.9814e+000  +1.1213e+001  +1.0470e-002  +1.5424e-002  +1.2687e-002  +3.1851e+001  +3.1510e+000  +9.8878e-001  
-2.8000e+000  +2.5000e+000  +0.0000e+000  +1.0056e+001  +7.5046e+000  +1.1891e+001  +7.6358e-003  +1.0448e-002  +8.9098e-003  +2.8159e+001  +2.8003e+000  +9.9390e-001  
-2.7000e+000  +5.0000e-001  +0.0000e+000  +5.6675e+001  +3.8591e+000  +1.0020e+001  +7.3540e-002  +1.0188e+000  +8.2355e-001  +7.4463e+000  +1.3139e-001  +5.0450e-002  
-2.7000e+000  +6.0000e-001  +0.0000e+000  +5.0528e+001  +4.2904e+000  +1.0020e+001  +7.0985e-002  +1.0190e+000  +8.0209e-001  +9.2036e+000  +1.8215e-001  +5.7043e-002  
-2.7000e+000  +7.0000e-001  +0.0000e+000  +4.5047e+001  +4.7745e+000  +1.0020e+001  +6.8779e-002  +1.0191e+000  +7.7801e-001  +1.1398e+001  +2.5303e-001  +6.4891e-002  
-2.7000e+000  +8.0000e-001  +0.0000e+000  +4.0159e+001  +5.3180e+000  +1.0020e+001  +6.6869e-002  +1.0192e+000  +7.5099e-001  +1.4141e+001  +3.5212e-001  +7.4312e-002  
-2.7000e+000  +9.0000e-001  +0.0000e+000  +3.5800e+001  +5.9280e+000  +1.0020e+001  +6.5209e-002  +1.0193e+000  +7.2067e-001  +1.7571e+001  +4.9081e-001  +8.5738e-002  
-2.7000e+000  +1.0000e+000  +0.0000e+000  +3.1914e+001  +6.6127e+000  +1.0020e+001  +6.3765e-002  +1.0194e+000  +6.8665e-001  +2.1864e+001  +6.8510e-001  +9.9774e-002  
-2.7000e+000  +1.1000e+000  +0.0000e+000  +2.8449e+001  +7.3811e+000  +1.0020e+001  +6.2504e-002  +1.0195e+000  +6.4849e-001  +2.7241e+001  +9.5754e-001  +1.1729e-001  
-2.7000e+000  +1.2000e+000  +0.0000e+000  +2.5359e+001  +8.2435e+000  +1.0020e+001  +6.1401e-002  +1.0196e+000  +6.0567e-001  +3.3978e+001  +1.3399e+000  +1.3958e-001  
-2.7000e+000  +1.3000e+000  +0.0000e+000  +2.2605e+001  +9.2112e+000  +1.0020e+001  +6.0434e-002  +1.0196e+000  +5.5762e-001  +4.2423e+001  +1.8767e+000  +1.6868e-001  
-2.7000e+000  +1.4000e+000  +0.0000e+000  +2.0150e+001  +1.0297e+001  +1.0020e+001  +5.9585e-002  +1.0195e+000  +5.0371e-001  +5.3011e+001  +2.6309e+000  +2.0793e-001  
-2.7000e+000  +1.5000e+000  +0.0000e+000  +1.7961e+001  +1.1511e+001  +1.0020e+001  +5.8829e-002  +1.0174e+000  +4.4325e-001  +6.6248e+001  +3.6883e+000  +2.6314e-001  
-2.7000e+000  +1.6000e+000  +0.0000e+000  +1.6014e+001  +1.2843e+001  +1.0020e+001  +5.8107e-002  +1.0041e+000  +3.7556e-001  +8.2472e+001  +5.1499e+000  +3.4444e-001  
-2.7000e+000  +1.7000e+000  +0.0000e+000  +1.4295e+001  +1.4173e+001  +1.0022e+001  +5.7174e-002  +9.3890e-001  +3.0047e-001  +1.0043e+002  +7.0256e+000  +4.6653e-001  
-2.7000e+000  +1.8000e+000  +0.0000e+000  +1.2820e+001  +1.5013e+001  +1.0028e+001  +5.5148e-002  +7.3099e-001  +2.1996e-001  +1.1270e+002  +8.7912e+000  +6.3344e-001  
-2.7000e+000  +1.9000e+000  +0.0000e+000  +1.1646e+001  +1.4476e+001  +1.0052e+001  +4.9833e-002  +3.9797e-001  +1.4144e-001  +1.0477e+002  +8.9962e+000  +8.0071e-001  
-2.7000e+000  +2.0000e+000  +0.0000e+000  +1.0853e+001  +1.2452e+001  +1.0132e+001  +3.9188e-002  +1.6013e-001  +7.8726e-002  +7.7528e+001  +7.1436e+000  +9.0740e-001  
-2.7000e+000  +2.1000e+000  +0.0000e+000  +1.0431e+001  +1.0226e+001  +1.0336e+001  +2.6768e-002  +6.5072e-002  +4.1663e-002  +5.2287e+001  +5.0127e+000  +9.5571e-001  
-2.7000e+000  +2.2000e+000  +0.0000e+000  +1.0238e+001  +8.7062e+000  +1.0703e+001  +1.7780e-002  +3.2318e-002  +2.3936e-002  +3.7899e+001  +3.7020e+000  +9.7586e-001  
-2.7000e+000  +2.3000e+000  +0.0000e+000  +1.0143e+001  +7.8461e+000  +1.1234e+001  +1.2384e-002  +1.9341e-002  +1.5435e-002  +3.0780e+001  +3.0348e+000  +9.8540e-001  
-2.7000e+000  +2.4000e+000  +0.0000e+000  +1.0086e+001  +7.4078e+000  +1.1918e+001  +9.1439e-003  +1.3152e-002  +1.0929e-002  +2.7438e+001  +2.7205e+000  +9.9097e-001  
-2.7000e+000  +2.5000e+000  +0.0000e+000  +1.0042e+001  +7.2360e+000  +1.2755e+001  +7.0944e-003  +9.7408e-003  +8.2843e-003  +2.6180e+001  +2.6070e+000  +9.9513e-001  
-2.6000e+000  +5.0000e-001  +0.0000e+000  +5.0940e+001  +3.8575e+000  +1.0025e+001  +7.3516e-002  +1.0236e+000  +8.0369e-001  +7.4401e+000  +1.4606e-001  +5.7468e-002  
-2.6000e+000  +6.0000e-001  +0.0000e+000  +4.5417e+001  +4.2887e+000  +1.0025e+001  +7.0963e-002  +1.0238e+000  +7.7982e-001  +9.1964e+000  +2.0249e-001  +6.5224e-002  
-2.6000e+000  +7.0000e-001  +0.0000e+000  +4.0491e+001  +4.7728e+000  +1.0025e+001  +6.8759e-002  +1.0239e+000  +7.5303e-001  +1.1390e+001  +2.8129e-001  +7.4532e-002  
-2.6000e+000  +8.0000e-001  +0.0000e+000  +3.6098e+001  +5.3162e+000  +1.0025e+001  +6.6850e-002  +1.0241e+000  +7.2298e-001  +1.4131e+001  +3.9146e-001  +8.5815e-002  
-2.6000e+000  +9.0000e-001  +0.0000e+000  +3.2181e+001  +5.9262e+000  +1.0025e+001  +6.5192e-002  +1.0243e+000  +6.8926e-001  +1.7560e+001  +5.4566e-001  +9.9664e-002  
-2.6000e+000  +1.0000e+000  +0.0000e+000  +2.8688e+001  +6.6108e+000  +1.0025e+001  +6.3749e-002  +1.0244e+000  +6.5143e-001  +2.1852e+001  +7.6169e-001  +1.1693e-001  
-2.6000e+000  +1.1000e+000  +0.0000e+000  +2.5574e+001  +7.3792e+000  +1.0025e+001  +6.2489e-002  +1.0245e+000  +6.0898e-001  +2.7226e+001  +1.0646e+000  +1.3887e-001  
-2.6000e+000  +1.2000e+000  +0.0000e+000  +2.2797e+001  +8.2415e+000  +1.0025e+001  +6.1388e-002  +1.0246e+000  +5.6135e-001  +3.3961e+001  +1.4897e+000  +1.6745e-001  
-2.6000e+000  +1.3000e+000  +0.0000e+000  +2.0322e+001  +9.2089e+000  +1.0025e+001  +6.0422e-002  +1.0245e+000  +5.0791e-001  +4.2402e+001  +2.0865e+000  +2.0589e-001  
-2.6000e+000  +1.4000e+000  +0.0000e+000  +1.8115e+001  +1.0291e+001  +1.0025e+001  +5.9566e-002  +1.0227e+000  +4.4798e-001  +5.2954e+001  +2.9232e+000  +2.5978e-001  
-2.6000e+000  +1.5000e+000  +0.0000e+000  +1.6152e+001  +1.1482e+001  +1.0025e+001  +5.8765e-002  +1.0106e+000  +3.8088e-001  +6.5919e+001  +4.0812e+000  +3.3884e-001  
-2.6000e+000  +1.6000e+000  +0.0000e+000  +1.4419e+001  +1.2685e+001  +1.0027e+001  +5.7796e-002  +9.5044e-001  +3.0646e-001  +8.0458e+001  +5.5801e+000  +4.5737e-001  
-2.6000e+000  +1.7000e+000  +0.0000e+000  +1.2932e+001  +1.3503e+001  +1.0034e+001  +5.5867e-002  +7.5438e-001  +2.2676e-001  +9.1166e+001  +7.0495e+000  +6.2030e-001  
-2.6000e+000  +1.8000e+000  +0.0000e+000  +1.1752e+001  +1.3189e+001  +1.0061e+001  +5.1006e-002  +4.2891e-001  +1.4911e-001  +8.6972e+001  +7.4007e+000  +7.8662e-001  
-2.6000e+000  +1.9000e+000  +0.0000e+000  +1.0947e+001  +1.1617e+001  +1.0146e+001  +4.1331e-002  +1.8392e-001  +8.6593e-002  +6.7473e+001  +6.1638e+000  +8.9611e-001  
-2.6000e+000  +2.0000e+000  +0.0000e+000  +1.0502e+001  +9.7866e+000  +1.0353e+001  +2.9568e-002  +7.8758e-002  +4.8098e-002  +4.7888e+001  +4.5599e+000  +9.4805e-001  
-2.6000e+000  +2.1000e+000  +0.0000e+000  +1.0288e+001  +8.4693e+000  +1.0723e+001  +2.0399e-002  +4.0119e-002  +2.8526e-002  +3.5865e+001  +3.4861e+000  +9.7071e-001  
-2.6000e+000  +2.2000e+000  +0.0000e+000  +1.0180e+001  +7.6990e+000  +1.1257e+001  +1.4543e-002  +2.4264e-002  +1.8712e-002  +2.9637e+001  +2.9112e+000  +9.8163e-001  
-2.6000e+000  +2.3000e+000  +0.0000e+000  +1.0117e+001  +7.3031e+000  +1.1948e+001  +1.0886e-002  +1.6579e-002  +1.3373e-002  +2.6667e+001  +2.6360e+000  +9.8789e-001  
