lgsgm0.21     lgsgm1.20     p3fl.0        tCrcl.10      vImpct.21     xMax.21       pMin.22       pMax.22       pMdl.0        E.0           N.0           eta.0         
-5.0000e-001  +2.5000e+000  +0.0000e+000  +1.0938e+000  +7.3870e+000  +2.9015e+000  +6.8604e-002  +1.0437e-001  +8.6475e-002  +2.7284e+001  +2.4945e+001  +9.1221e-001  
-5.0000e-001  +3.0000e+000  +0.0000e+000  +1.0476e+000  +9.7802e+000  +5.0612e+000  +3.5744e-002  +5.9338e-002  +4.7930e-002  +4.7826e+001  +4.5652e+001  +9.5248e-001  
+0.0000e+000  +5.0000e-001  +0.0000e+000  +2.9394e+000  +1.9325e+000  +1.3225e+000  +4.4926e-001  +9.3360e-001  +6.5979e-001  +1.8673e+000  +6.3527e-001  +3.0448e-001  
+0.0000e+000  +1.0000e+000  +0.0000e+000  +1.9524e+000  +3.0425e+000  +1.4992e+000  +3.4445e-001  +6.7929e-001  +4.8781e-001  +4.6284e+000  +2.3706e+000  +4.8597e-001  
+0.0000e+000  +1.5000e+000  +0.0000e+000  +1.4660e+000  +4.4279e+000  +1.8990e+000  +2.2633e-001  +4.3435e-001  +3.1794e-001  +9.8030e+000  +6.6868e+000  +6.6507e-001  
+0.0000e+000  +2.0000e+000  +0.0000e+000  +1.2370e+000  +6.1483e+000  +2.7779e+000  +1.3113e-001  +2.6344e-001  +1.9179e-001  +1.8901e+001  +1.5279e+001  +7.9669e-001  
+0.0000e+000  +2.5000e+000  +0.0000e+000  +1.1255e+000  +8.3800e+000  +4.6249e+000  +7.0139e-002  +1.6022e-001  +1.1220e-001  +3.5112e+001  +3.1197e+001  +8.7928e-001  
+0.0000e+000  +3.0000e+000  +0.0000e+000  +1.0662e+000  +1.1327e+001  +8.3758e+000  +3.5494e-002  +9.9109e-002  +6.4749e-002  +6.4152e+001  +6.0168e+001  +9.2925e-001  
+5.0000e-001  +5.0000e-001  +0.0000e+000  +2.9390e+000  +1.8726e+000  +1.5346e+000  +4.2121e-001  +9.9194e-001  +6.5974e-001  +1.7532e+000  +5.9655e-001  +2.8594e-001  
+5.0000e-001  +1.0000e+000  +0.0000e+000  +2.0002e+000  +3.0150e+000  +1.8258e+000  +3.1936e-001  +7.5444e-001  +5.0006e-001  +4.5451e+000  +2.2723e+000  +4.5441e-001  
+5.0000e-001  +1.5000e+000  +0.0000e+000  +1.5191e+000  +4.5245e+000  +2.4320e+000  +2.1101e-001  +5.1976e-001  +3.4178e-001  +1.0236e+001  +6.7379e+000  +6.2342e-001  
+5.0000e-001  +2.0000e+000  +0.0000e+000  +1.2756e+000  +6.4610e+000  +3.7024e+000  +1.2246e-001  +3.4127e-001  +2.1628e-001  +2.0872e+001  +1.6362e+001  +7.5653e-001  
+5.0000e-001  +2.5000e+000  +0.0000e+000  +1.1492e+000  +8.9696e+000  +6.3185e+000  +6.4241e-002  +2.2242e-001  +1.3069e-001  +4.0227e+001  +3.5004e+001  +8.4695e-001  
+5.0000e-001  +3.0000e+000  +0.0000e+000  +1.0796e+000  +1.2265e+001  +1.1572e+001  +3.1362e-002  +1.4690e-001  +7.7015e-002  +7.5210e+001  +6.9665e+001  +9.0456e-001  
+1.0000e+000  +5.0000e-001  +0.0000e+000  +2.9717e+000  +1.8319e+000  +1.6632e+000  +4.0572e-001  +1.0349e+000  +6.6349e-001  +1.6779e+000  +5.6463e-001  +2.6911e-001  
+1.0000e+000  +1.0000e+000  +0.0000e+000  +2.0363e+000  +2.9898e+000  +2.0227e+000  +3.0500e-001  +8.0670e-001  +5.0894e-001  +4.4696e+000  +2.1949e+000  +4.3127e-001  
+1.0000e+000  +1.5000e+000  +0.0000e+000  +1.5484e+000  +4.5513e+000  +2.7493e+000  +2.0072e-001  +5.7476e-001  +3.5422e-001  +1.0357e+001  +6.6891e+000  +5.9717e-001  
+1.0000e+000  +2.0000e+000  +0.0000e+000  +1.2951e+000  +6.5762e+000  +4.2460e+000  +1.1570e-001  +3.9095e-001  +2.2809e-001  +2.1623e+001  +1.6696e+001  +7.3199e-001  
+1.0000e+000  +2.5000e+000  +0.0000e+000  +1.1611e+000  +9.2042e+000  +7.3010e+000  +5.9885e-002  +2.6362e-001  +1.3960e-001  +4.2358e+001  +3.6482e+001  +8.2639e-001  
+1.0000e+000  +3.0000e+000  +0.0000e+000  +1.0863e+000  +1.2655e+001  +1.3400e+001  +2.8721e-002  +1.8028e-001  +8.3025e-002  +8.0076e+001  +7.3716e+001  +8.8788e-001  
+1.5000e+000  +5.0000e-001  +0.0000e+000  +2.9881e+000  +1.8134e+000  +1.7160e+000  +3.9959e-001  +1.0536e+000  +6.6534e-001  +1.6443e+000  +5.5027e-001  +2.6154e-001  
+1.5000e+000  +1.0000e+000  +0.0000e+000  +2.0514e+000  +2.9763e+000  +2.1038e+000  +2.9920e-001  +8.2919e-001  +5.1255e-001  +4.4292e+000  +2.1591e+000  +4.2125e-001  
+1.5000e+000  +1.5000e+000  +0.0000e+000  +1.5598e+000  +4.5554e+000  +2.8796e+000  +1.9639e-001  +5.9818e-001  +3.5894e-001  +1.0376e+001  +6.6523e+000  +5.8608e-001  
+1.5000e+000  +2.0000e+000  +0.0000e+000  +1.3025e+000  +6.6111e+000  +4.4678e+000  +1.1283e-001  +4.1229e-001  +2.3251e-001  +2.1853e+001  +1.6778e+001  +7.2160e-001  
+1.5000e+000  +2.5000e+000  +0.0000e+000  +1.1655e+000  +9.2816e+000  +7.6990e+000  +5.8093e-002  +2.8166e-001  +1.4296e-001  +4.3074e+001  +3.6958e+001  +8.1751e-001  
+1.5000e+000  +3.0000e+000  +0.0000e+000  +1.0887e+000  +1.2789e+001  +1.4134e+001  +2.7686e-002  +1.9527e-001  +8.5309e-002  +8.1776e+001  +7.5115e+001  +8.8050e-001  
